,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Palmerston,-12.49,130.98,64.4,88,0,2.24,AU,1595536543
1,Kapaa,22.08,-159.32,82.4,74,20,11.41,US,1595536577
2,Avarua,-21.21,-159.78,75.2,94,5,4.7,CK,1595536515
3,Bambous Virieux,-20.34,57.76,66.99,77,75,18.34,MU,1595536577
4,Busselton,-33.65,115.33,43.0,76,0,4.76,AU,1595536578
5,Zaraza,9.35,-65.32,83.95,81,6,3.29,VE,1595536578
6,Bluff,-46.6,168.33,39.0,83,99,3.0,NZ,1595536578
7,Salalah,17.02,54.09,78.8,94,40,8.05,OM,1595536538
8,Punta Arenas,-53.15,-70.92,39.2,80,75,23.04,CL,1595536463
9,Taoudenni,22.68,-3.98,103.51,11,0,4.16,ML,1595536578
10,Elko,41.0,-115.5,91.0,7,59,10.0,US,1595536579
11,Carnarvon,-24.87,113.63,60.8,77,0,13.87,AU,1595536340
12,Chadan,51.28,91.58,55.74,80,37,2.3,RU,1595536579
13,Ushuaia,-54.8,-68.3,41.0,65,75,4.7,AR,1595536579
14,Mantua,45.17,10.78,78.01,78,0,1.99,IT,1595536361
15,Bredasdorp,-34.53,20.04,51.8,93,0,3.36,ZA,1595536579
16,Tuatapere,-46.13,167.68,39.0,83,77,3.0,NZ,1595536526
17,Ampanihy,-24.7,44.75,58.71,69,0,12.86,MG,1595536580
18,Upernavik,72.79,-56.15,46.54,72,67,10.69,GL,1595536353
19,Rio Grande,-32.03,-52.1,75.2,73,100,6.93,BR,1595536556
20,Luderitz,-26.65,15.16,68.0,32,0,3.36,NA,1595536300
21,Yellowknife,62.46,-114.35,60.01,93,90,13.87,CA,1595536557
22,Katsuura,35.13,140.3,73.99,95,98,0.31,JP,1595536580
23,Taltal,-25.4,-70.48,57.34,56,0,5.08,CL,1595536526
24,Port Elizabeth,-33.92,25.57,53.6,76,0,4.7,ZA,1595536304
25,Iskateley,67.68,53.15,64.6,72,1,11.23,RU,1595536580
26,Ahipara,-35.17,173.17,56.95,74,5,10.67,NZ,1595536522
27,Rikitea,-23.12,-134.97,66.97,62,0,16.2,PF,1595536581
28,Isangel,-19.55,169.27,71.6,94,90,15.93,VU,1595536581
29,Comodoro Rivadavia,-45.87,-67.5,41.0,56,0,6.93,AR,1595536320
30,Hot Springs,34.5,-93.06,88.0,74,90,4.65,US,1595536581
31,Manaus,-3.1,-60.02,87.8,66,40,9.17,BR,1595536357
32,Butaritari,3.07,172.79,82.29,79,20,15.52,KI,1595536581
33,Winnemucca,40.97,-117.74,86.0,23,1,8.05,US,1595536404
34,Vaini,-21.2,-175.2,69.8,94,75,6.93,TO,1595536519
35,Punta Cardon,11.66,-70.22,84.11,65,100,26.82,VE,1595536480
36,Ribeira Grande,38.52,-28.7,71.6,68,40,4.7,PT,1595536582
37,New Norfolk,-42.78,147.06,39.99,86,98,2.35,AU,1595536298
38,Vihti,60.42,24.32,53.01,89,99,5.01,FI,1595536582
39,Deputatskiy,69.3,139.9,73.27,40,95,1.25,RU,1595536582
40,Pevek,69.7,170.31,47.43,75,11,10.94,RU,1595536309
41,Souillac,-20.52,57.52,64.4,77,75,18.34,MU,1595536345
42,Tasiilaq,65.61,-37.64,37.4,93,96,9.17,GL,1595536583
43,Karakol,42.49,78.39,59.09,33,54,4.0,KG,1595536583
44,Fare,-16.7,-151.02,78.08,79,7,18.77,PF,1595536583
45,Jamestown,42.1,-79.24,81.0,61,75,8.05,US,1595536293
46,Baykit,61.67,96.37,49.33,90,100,4.21,RU,1595536327
47,Murchison,-41.8,172.33,39.96,84,90,2.53,NZ,1595536583
48,Gwanda,-20.93,29.0,48.06,80,3,7.61,ZW,1595536583
49,Maniitsoq,65.42,-52.9,47.07,88,100,8.23,GL,1595536335
50,Kyaikto,17.3,97.02,79.07,82,81,2.15,MM,1595536584
51,Victoria,22.29,114.16,86.0,79,96,6.98,HK,1595536584
52,Mataura,-46.19,168.86,39.0,83,75,3.0,NZ,1595536584
53,Hovd,48.01,91.64,64.02,56,94,3.22,MN,1595536360
54,Sambava,-14.27,50.17,69.87,75,81,18.37,MG,1595536337
55,Salamanca,40.83,-6.0,87.01,37,0,1.01,ES,1595536584
56,Vao,-22.67,167.48,69.39,80,3,18.52,NC,1595536584
57,Albany,42.6,-73.97,82.99,62,93,5.93,US,1595536585
58,Cape Town,-33.93,18.42,55.99,93,90,2.24,ZA,1595536585
59,Dunedin,-45.87,170.5,42.01,71,66,1.99,NZ,1595536585
60,Buraydah,26.33,43.98,100.4,35,0,17.22,SA,1595536475
61,Grand-Bourg,15.88,-61.31,86.0,62,40,14.99,GP,1595536585
62,Gomel,52.43,30.98,60.8,67,75,6.71,BY,1595536585
63,Kaitangata,-46.28,169.85,39.0,76,91,4.0,NZ,1595536585
64,Jaguey Grande,22.53,-81.13,78.8,94,75,1.12,CU,1595536586
65,Bethel,41.37,-73.41,87.01,66,40,6.93,US,1595536413
66,Abengourou,6.73,-3.5,72.97,90,100,3.22,CI,1595536586
67,Hobart,-42.88,147.33,39.99,80,75,4.7,AU,1595536476
68,Khatanga,71.97,102.5,42.42,90,100,16.64,RU,1595536586
69,Tiksi,71.69,128.87,59.94,81,62,9.4,RU,1595536586
70,Cherskiy,68.75,161.3,66.76,62,5,8.72,RU,1595536297
71,Chuy,-33.7,-53.46,67.35,90,100,5.64,UY,1595536575
72,Saint George,37.1,-113.58,97.0,17,1,8.05,US,1595536357
73,Port Alfred,-33.59,26.89,63.63,43,0,10.02,ZA,1595536587
74,Jacksonville,30.33,-81.66,89.6,78,75,8.05,US,1595536298
75,Faya,18.39,42.45,73.4,83,70,4.7,SA,1595536532
76,Atuona,-9.8,-139.03,78.8,76,2,18.37,PF,1595536520
77,Sao Felix Do Xingu,-6.64,-51.99,84.83,47,91,1.99,BR,1595536587
78,Bandar-E Anzali,37.47,49.46,77.0,83,40,2.71,IR,1595536587
79,Kasongo-Lunda,-6.47,16.82,74.66,29,0,1.52,CD,1595536587
80,Shagonar,51.53,92.8,59.05,74,79,0.81,RU,1595536588
81,Puerto Baquerizo Moreno,-0.9,-89.6,73.4,78,75,9.17,EC,1595536588
82,Inhambane,-23.86,35.38,64.4,77,4,11.32,MZ,1595536588
83,Aksu,41.12,80.26,75.56,32,52,3.09,CN,1595536588
84,Epinal,48.18,6.45,71.6,40,62,2.24,FR,1595536588
85,Sao Filipe,14.9,-24.5,77.7,87,100,8.16,CV,1595536548
86,Torbay,47.67,-52.73,73.99,53,75,10.29,CA,1595536589
87,Pareora,-44.49,171.21,35.01,40,0,4.68,NZ,1595536589
88,Thompson,55.74,-97.86,82.4,58,75,6.93,CA,1595536589
89,Tuktoyaktuk,69.45,-133.04,57.2,54,75,16.11,CA,1595536589
90,Neepawa,50.23,-99.47,78.8,69,75,20.8,CA,1595536589
91,Yaan,7.38,8.57,73.54,94,97,7.23,NG,1595536589
92,Sorong,-0.88,131.25,77.49,87,32,7.31,ID,1595536590
93,Buala,-8.14,159.59,81.86,80,92,10.58,SB,1595536392
94,Yulara,-25.24,130.99,39.2,69,0,5.82,AU,1595536590
95,Kruisfontein,-34.0,24.73,58.37,35,0,4.81,ZA,1595536590
96,El Alto,-4.27,-81.21,73.4,69,4,18.34,PE,1595536590
97,Praya,14.92,-23.51,82.4,74,75,5.82,CV,1595536590
98,Juneau,58.3,-134.42,57.2,82,75,12.75,US,1595536591
99,Caravelas,-17.71,-39.25,71.78,79,23,6.08,BR,1595536591
100,Coos Bay,43.37,-124.22,72.0,77,90,12.75,US,1595536591
101,Avera,33.19,-82.53,93.2,46,1,5.82,US,1595536591
102,Etchoropo,26.77,-109.67,96.01,45,0,14.0,MX,1595536592
103,Castro,-24.79,-50.01,62.29,73,0,3.98,BR,1595536545
104,Saint-Joseph,-21.37,55.62,64.99,77,75,17.22,RE,1595536592
105,Dingle,11.0,122.67,76.86,84,100,3.38,PH,1595536486
106,Shimoda,34.67,138.95,68.0,95,98,7.43,JP,1595536592
107,Kabala,9.58,-11.55,70.77,97,100,6.44,SL,1595536592
108,Turukhansk,65.82,87.98,53.22,72,86,6.91,RU,1595536593
109,Grand Gaube,-20.01,57.66,66.99,70,16,14.0,MU,1595536593
110,Husavik,66.04,-17.34,48.2,70,75,12.75,IS,1595536593
111,Lata,40.16,-8.33,73.99,65,0,5.99,PT,1595536392
112,Nouakchott,18.09,-15.98,80.6,78,40,6.93,MR,1595536593
113,Alice Springs,-23.7,133.88,37.4,74,0,5.82,AU,1595536593
114,Adrar,20.5,-10.07,100.78,17,39,7.09,MR,1595536360
